Time,Ca[*],Cb[*],Cc[*],Cm[*],T[*],Fa0[*],mc[*],dCadt[*],dCbdt[*],dCcdt[*],dCmdt[*],dTdt[*]
0,0.15612173378479913,33.55804914071708,2.74943773137456,3.633950405628219,339.7951413008544,,,,,,,
0.007753,0.2130287898433288,33.39173698300315,2.7476128640848683,3.6171218762297084,340.0294767632329,81.03821088409939,283.2692094183886,5.998612273693068,-22.450146843617127,1.021481980093682,-2.144756139338542,60.891939919180366
0.032247,0.2726573655730456,32.78033318193869,2.853570088179057,3.5665326465241294,343.48413372426893,81.03821088409939,283.2692094183886,-0.6170004352760413,-26.983392673932258,7.123244095480353,-1.987766193698669,208.46008686616466
0.05,0.233828361473505,32.286096985349296,3.0047766269875003,3.5321994312171294,347.77006279445663,81.03821088409939,283.2692094183886,-3.4880355014895317,-28.441195105273152,9.645545979398552,-1.8812223772370043,267.7110961301387
0.057753000000000006,0.19938977367265273,31.98734373353973,3.104326011665827,3.5122631331431506,350.1530461688383,96.2034409764337,286.8081153540075,-0.7348199843232973,-34.41527834283982,9.046274007777185,-2.5391430345101575,260.262162926892
0.082247,0.13551494204405082,31.13099750495276,3.3637620055152486,3.4525193432512116,357.4157618345445,96.2034409764337,286.8081153540075,-3.4234241113222224,-34.48225699277002,11.087929705885108,-2.3415007697186394,306.15927420843394
0.1,0.08770308649703877,30.547696124581957,3.543718635288237,3.4121492128172313,362.3854003940131,96.2034409764337,286.8081153540075,-1.407798410204852,-30.69514403498988,8.635147398104094,-2.20794975088752,239.75991849152004
0.10775300000000002,0.066816401533289,30.299915717416024,3.620777759993893,3.395060845314728,364.77173832690073,96.73622882139054,293.70976766803443,0.8581399563802559,-28.00283490544837,6.263388876056646,-2.175862506302931,175.47744642536597
0.132247,0.05341213548994159,29.60749723426212,3.8017307435680054,3.3438691727073153,369.7288422453113,96.73622882139054,293.70976766803443,-1.2067832628021509,-27.816578833346853,7.772827108795796,-2.006143477811323,210.26315664932577
0.15000000000000002,0.040052802126443014,29.135383891896748,3.9282889524976707,3.3092831737040878,373.14132675229433,96.73622882139054,293.70976766803443,0.09346334803541018,-24.995395695947085,6.097285021001105,-1.891478301792256,164.20428300473876
0.15775300000000003,0.03492427202491878,28.958476919165957,3.977782766409034,3.2965153160322935,374.82701282703044,91.66758955728811,294.9385123114296,-0.37731827430797366,-21.901819041180797,5.6821025966563905,-1.6233529768385102,147.09134695675235
0.18224700000000002,0.027926646671813837,28.444652028752056,4.109689645591194,3.258290989327088,378.21054440608407,91.66758955728811,294.9385123114296,-0.2203587783327892,-20.099257873085786,5.11957913217672,-1.4992436001770237,130.05021464273264
0.2,0.02427097024043781,28.09807665799048,4.197859013559923,3.2324283822154625,380.43475476102674,91.66758955728811,294.9385123114296,-0.2053156952276777,-18.97079950770514,4.830131174475514,-1.415271106110106,120.98986023406432
0.20775300000000002,0.024437126792125605,27.97352456834614,4.223162825431647,3.222568773897984,379.67450786408284,89.07556506112877,295.61833879383215,0.01619161569571119,-16.84696081262445,4.156303520995443,-1.2703801804365684,106.84484113061524
0.232247,0.021054969678414998,27.57290578265493,4.324834309401672,3.192643079871711,382.2636899837808,89.07556506112877,295.61833879383215,-0.20030509798206556,-15.787596430435325,4.057110493966305,-1.1742635939282584,102.2861936113222
0.25,0.01874079652154352,27.30162112229859,4.393700573249972,3.1723802744731926,383.9850916913332,89.07556506112877,295.61833879383215,-0.012065644652591424,-14.735466399383787,3.6551162726894106,-1.1091826742918462,90.45183693367872
0.25775300000000007,0.016243460289572284,27.19724399108956,4.42307924574533,3.164847306598035,385.79808432944026,86.03395803879881,296.59151699770894,-0.050898629567405373,-12.72154106119163,3.181757843949383,-0.9549038970467397,70.26533327196937
0.282247,0.01471600439297377,26.89709254972062,4.498395356131768,3.142341959373693,387.4439429326052,86.03395803879881,296.59151699770894,-0.06427572367610895,-11.788059521924692,2.9611703941907677,-0.8835453212016685,63.96774866718902
0.30000000000000004,0.013762015665548017,26.693762615321187,4.549355538128042,3.1270902008118364,388.53470719826095,86.03395803879881,296.59151699770894,-0.03818858477972997,-11.12029113614518,2.7765266820708163,-0.8351859797856995,58.838442978952024
0.30775300000000005,0.0126506735371097,26.609898359854373,4.575224814409233,3.1212249270285963,389.5658890491976,84.11639484822216,297.23828841718097,-0.036074286839954985,-9.78306142638275,2.431284496910085,-0.735708377348307,45.826534449114206
0.33224700000000007,0.011869169734731235,26.37932620953313,4.632474731972782,3.103880192572719,390.6313979635045,84.11639484822216,297.23828841718097,-0.02864668571300153,-9.05298229362818,2.2462735767434627,-0.6811622106087285,41.26506567058217
0.35000000000000003,0.011382310780925853,26.223025741500134,4.671250996872362,3.092119288832588,391.33728069985256,84.11639484822216,297.23828841718097,-0.026681523479078373,-8.561010488585776,2.1238949065143196,-0.6441762182287756,38.30852046122697
